IP Address,DNS Name,Vulnerability Name,CVE,Severity,Exploit Availability,Patch Priority,Asset Exposure (on 1000),Vulnerability Finding,Summary,Description,Remediation,KB Links,Platform Details,First Discovered,Last Observed,Record Count
10.30.17.36,asset-016.corp.local,Nginx Security Update Available,CVE-2025-2345,Low,Yes,P2,370,Nginx Security Update Available detected on 10.30.17.36:443.,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html | 95056,Network Appliance | Web Server | tcp/443,2026-04-06,2026-07-31,1
10.30.18.37,asset-017.corp.local,SMB Signing Not Required,,Critical,No,P2,980,SMB Signing Not Required detected on 10.30.18.37:445.,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95057,Windows Server 2019 | Windows | tcp/445,2026-04-07,2026-07-31,1
10.30.10.38,asset-018.corp.local,Oracle Java Unsupported Version,CVE-2024-20919,High,Yes,P1,810,Oracle Java Unsupported Version detected on 10.30.10.38:0.,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/ | 95058,Ubuntu 22.04 | General | tcp/0,2026-04-08,2026-07-31,1
10.30.11.39,asset-019.corp.local,Linux Kernel Security Update Available,CVE-2024-1086,Medium,No,P3,650,Linux Kernel Security Update Available detected on 10.30.11.39:0.,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/ | 95059,RHEL 8 | Linux | tcp/0,2026-04-09,2026-07-31,1
10.30.12.40,asset-020.corp.local,TLS 1.0 Protocol Detection,,Low,No,P4,370,TLS 1.0 Protocol Detection detected on 10.30.12.40:443.,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.qualys.com/research/security-alerts/ | 95060,Network Appliance | SSL | tcp/443,2026-04-10,2026-07-31,1
10.30.13.41,asset-021.corp.local,Apache Tomcat AJP Request Injection,CVE-2020-1938,Critical,Yes,P1,980,Apache Tomcat AJP Request Injection detected on 10.30.13.41:8009.,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html | 95061,Windows Server 2019 | Web Application | tcp/8009,2026-04-11,2026-07-31,1
10.30.14.42,asset-022.corp.local,Apache Log4j Remote Code Execution,CVE-2021-44228,High,Yes,P1,810,Apache Log4j Remote Code Execution detected on 10.30.14.42:8080.,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html | 95062,Ubuntu 22.04 | Web Application | tcp/8080,2026-04-12,2026-07-31,1
10.30.15.43,asset-023.corp.local,Microsoft SQL Server Unsupported Version,,Medium,Yes,P2,650,Microsoft SQL Server Unsupported Version detected on 10.30.15.43:1433.,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support | 95063,RHEL 8 | Database | tcp/1433,2026-04-13,2026-07-31,1
10.30.16.44,asset-024.corp.local,OpenSSL Security Update Available,CVE-2023-0286,Low,No,P4,370,OpenSSL Security Update Available detected on 10.30.16.44:443.,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html | 95064,Network Appliance | SSL | tcp/443,2026-04-14,2026-07-31,1
10.30.17.45,asset-025.corp.local,Remote Desktop Weak Encryption Enabled,,Critical,Yes,P1,980,Remote Desktop Weak Encryption Enabled detected on 10.30.17.45:3389.,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/ | 95065,Windows Server 2019 | Windows | tcp/3389,2026-04-15,2026-07-31,1
10.30.18.46,asset-026.corp.local,Nginx Security Update Available,CVE-2025-2345,High,No,P2,810,Nginx Security Update Available detected on 10.30.18.46:443.,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html | 95066,Ubuntu 22.04 | Web Server | tcp/443,2026-01-21,2026-07-31,1
10.30.10.47,asset-027.corp.local,SMB Signing Not Required,,Medium,No,P3,650,SMB Signing Not Required detected on 10.30.10.47:445.,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95067,RHEL 8 | Windows | tcp/445,2026-04-17,2026-07-31,1
10.30.11.48,asset-028.corp.local,Oracle Java Unsupported Version,CVE-2024-20919,Low,No,P4,370,Oracle Java Unsupported Version detected on 10.30.11.48:0.,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/ | 95068,Network Appliance | General | tcp/0,2025-11-09,2026-07-31,1
10.30.12.49,asset-029.corp.local,Linux Kernel Security Update Available,CVE-2024-1086,Critical,No,P2,980,Linux Kernel Security Update Available detected on 10.30.12.49:0.,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/ | 95069,Windows Server 2019 | Linux | tcp/0,2026-04-19,2026-07-31,1
10.30.13.50,asset-030.corp.local,TLS 1.0 Protocol Detection,,High,Yes,P1,810,TLS 1.0 Protocol Detection detected on 10.30.13.50:443.,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.qualys.com/research/security-alerts/ | 95070,Ubuntu 22.04 | SSL | tcp/443,2026-04-20,2026-07-31,1
10.30.14.51,asset-031.corp.local,Apache Tomcat AJP Request Injection,CVE-2020-1938,Medium,No,P3,650,Apache Tomcat AJP Request Injection detected on 10.30.14.51:8009.,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html | 95071,RHEL 8 | Web Application | tcp/8009,2026-04-21,2026-07-31,1
10.30.15.52,asset-032.corp.local,Apache Log4j Remote Code Execution,CVE-2021-44228,Low,No,P4,370,Apache Log4j Remote Code Execution detected on 10.30.15.52:8080.,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html | 95072,Network Appliance | Web Application | tcp/8080,2026-04-22,2026-07-31,1
